Nom,image,Texte,Né le,JN,MN,AN,Décédé le,JD,MD,AD
Étienne Lamy,https://commons.wikimedia.org/wiki/File:Etienne_Lamy.jpg,Député de la Troisième République né le 2 juin 1845  à Cize,2 juin 1845 ,2,6,1845,9 janvier 1919,9,1,1919
Georges Clemenceau,https://commons.wikimedia.org/wiki/File:Georges_Clemenceau_par_Nadar.jpg,Député de la Troisième République né le 28 septembre 1841  à Mouilleron-en-Pareds,28 septembre 1841 ,28,9,1841,24 novembre 1929,24,11,1929
Louis de Clercq,https://commons.wikimedia.org/wiki/File:Louis_De_Clercq.tif,Député de la Troisième République né le 24 décembre 1837  à Paris,24 décembre 1837 ,24,12,1837,27 décembre 1901,27,12,1901
Sadi Carnot,https://commons.wikimedia.org/wiki/File:Sadi_Carnot_(14782530655).jpg,Député de la Troisième République né le 11 août 1837  à Limoges,11 août 1837 ,11,8,1837,25 juin 1894,25,6,1894
Horace de Choiseul-Praslin,https://commons.wikimedia.org/wiki/File:Horace_de_Choiseul-Praslin_(1837-1915).jpg,Député de la Troisième République né le 23 février 1837  à ancien 1er arrondissement de Paris,23 février 1837 ,23,2,1837,6 décembre 1915,6,12,1915
Auguste Schneegans,https://commons.wikimedia.org/wiki/File:Auguste_Schneegans.jpeg,Député de la Troisième République né le 8 février 1835  à Strasbourg,8 février 1835 ,8,2,1835,2 mars 1898,2,3,1898
Auguste Scheurer-Kestner,https://commons.wikimedia.org/wiki/File:Auguste_Scheurer-Kestner.jpg,Député de la Troisième République né le 11 février 1833  à Mulhouse,11 février 1833 ,11,2,1833,19 septembre 1899,19,9,1899
Félix Voisin,"https://commons.wikimedia.org/wiki/File:Voisin,_Felix.JPG",Député de la Troisième République né le 3 décembre 1832  à Paris,3 décembre 1832 ,3,12,1832,28 janvier 1915,28,1,1915
Jules Ferry,https://commons.wikimedia.org/wiki/File:Julesferry.jpg,Député de la Troisième République né le 5 avril 1832  à Saint-Dié-des-Vosges,5 avril 1832 ,5,4,1832,17 mars 1893,17,3,1893
Clément Laurier,https://commons.wikimedia.org/wiki/File:Clément_Laurier.JPEG,Député de la Troisième République né le 3 février 1832  à Sainte-Radegonde-en-Touraine,3 février 1832 ,3,2,1832,20 septembre 1878,20,9,1878
François Césaire de Mahy,"https://commons.wikimedia.org/wiki/File:De_Mahy,_Fran%C3%A7ois,_Nadar,_Gallica.jpg",Député de la Troisième République né le 22 juillet 1830  à Saint-Pierre,22 juillet 1830 ,22,7,1830,19 novembre 1906,19,11,1906
Eugène Razoua,https://commons.wikimedia.org/wiki/File:Razoua_Eugène.jpg,Député de la Troisième République né le 16 juillet 1830  à Beaumont-de-Lomagne,16 juillet 1830 ,16,7,1830,29 juin 1879,29,6,1879
