Nom,lieu de naissance,lat,long,lieu de mort,Né le,Décédé le
Charles Savary,Coutances,49.045277777778,-1.4452777777778,Ottawa,21 septembre 1845 ,9 septembre 1889
Étienne Lamy,Cize,46.731666666667,5.91,Paris,2 juin 1845 ,9 janvier 1919
Antoine de Castellane,Paris,48.85666666666667,2.352222222222222,Paris,12 mai 1844 ,10 décembre 1917
Francisque Ordinaire,Saint-Laurent-sur-Saône,46.305277777778,4.8394444444444,Paris,26 janvier 1844 ,29 mai 1896
Charles Eugène Lébraly,Courteix,45.648333333333,2.3416666666667,Ussel,15 avril 1843 ,30 juin 1888
Paul-Gabriel d’Haussonville,Gurcy-le-Châtel,48.470833333333,3.0869444444444,7e arrondissement de Paris,21 mars 1843 ,1er septembre 1924
Ernest Duvergier de Hauranne,Paris,48.85666666666667,2.352222222222222,Trouville-sur-Mer,7 mars 1843 ,19 août 1877
Bernard d'Harcourt,Paris,48.85666666666667,2.352222222222222,Paris,20 août 1842 ,8 avril 1914
Maurice Rouvier,Aix-en-Provence,43.527777777778,5.4455555555556,Neuilly-sur-Seine,17 avril 1842 ,7 juin 1911
Georges Clemenceau,Mouilleron-en-Pareds,46.675833333333,-0.84944444444444,Paris,28 septembre 1841 ,24 novembre 1929
Benoît Malon,Précieux,45.586388888889,4.1511111111111,Asnières-sur-Seine,23 juin 1841 ,13 septembre 1893
Antoine Just Léon Marie de Noailles,Paris,48.85666666666667,2.352222222222222,Paris,19 avril 1841 ,2 février 1909
Théodore Lacascade,Saint-François,16.251388888889,-61.273888888889,16e arrondissement de Paris,2 janvier 1841 ,6 novembre 1906
Gustave Tridon,Châtillon-sur-Seine,47.858333333333,4.5741666666667,Ville de Bruxelles,1er janvier 1841 ,29 août 1871
Émile Bouchet,Embrun,44.565,6.4952777777778,,28 décembre 1840 ,
Marie-Henri-Guillaume de Chabrol-Tournoël,Paris,48.85666666666667,2.352222222222222,Nevers,18 mai 1840 ,25 décembre 1923
Daniel Wilson,Paris,48.85666666666667,2.352222222222222,Loches,6 mars 1840 ,13 février 1919
Emmanuel de Crussol d'Uzès,Paris,48.85666666666667,2.352222222222222,Paris,18 janvier 1840 ,28 novembre 1878
Léon Chiris,Grasse,43.658055555556,6.9252777777778,Paris,13 décembre 1839 ,16 janvier 1900
Charles de Ravinel,Nancy,48.692777777778,6.1836111111111,Nossoncourt,30 octobre 1839 ,27 octobre 1905
Amédée-Eugène-Louis de Lur-Saluces,Sauternes,44.531666666667,-0.34277777777778,Sauternes,5 juillet 1839 ,2 octobre 1894
René Joseph Brice,Rennes,48.114166666667,-1.6808333333333,6e arrondissement de Paris,23 juin 1839 ,26 août 1921
Arthur de Chabaud-Latour,Paris,48.85666666666667,2.352222222222222,Cannes,6 juin 1839 ,20 février 1910
Albert Moreau du Breuil de Saint-Germain,Chaumont,48.110833333333,5.1386111111111,Paris,3 décembre 1838 ,9 avril 1919
Georges Périn,Arras,50.289166666667,2.78,Paris,1er juillet 1838 ,5 juillet 1903
Jules Méline,Remiremont,48.016944444444,6.59,Paris,20 mai 1838 ,21 décembre 1925
Albert Desjardins,Beauvais,49.434166666667,2.0875,Beauvais,28 avril 1838 ,21 janvier 1897
Léon Gambetta,Cahors,44.4475,1.4405555555556,Ville-d'Avray,2 avril 1838 ,31 décembre 1882
Léon Lefébure,Wintzenheim,48.073055555556,7.29,Orbey,31 mars 1838 ,4 août 1911
André Folliet,Saint-Jean-de-Maurienne,45.276666666667,6.345,Paris,18 mars 1838 ,22 mars 1905
Louis de Clercq,Paris,48.85666666666667,2.352222222222222,Oignies,24 décembre 1837 ,27 décembre 1901
Francisque Rive,Belley,45.759166666667,5.6880555555556,,17 novembre 1837 ,12 avril 1898
Edmond Berlet,Nancy,48.692777777778,6.1836111111111,Nancy,18 octobre 1837 ,28 janvier 1886
Germain Casse,Pointe-à-Pitre,16.241111111111,-61.533055555556,Avignon,22 septembre 1837 ,9 décembre 1900
Sadi Carnot,Limoges,45.834444444444,1.2616666666667,3e arrondissement de Lyon,11 août 1837 ,25 juin 1894
Fidèle Simon,Guémené-Penfao,47.63,-1.8325,Pléchâtel,6 août 1837 ,5 mai 1911
Marie Alexandre Raoul Blin de Bourdon,Abbeville,50.105277777778,1.8352777777778,Paris,20 mai 1837 ,17 avril 1940
Horace de Choiseul-Praslin,Paris,48.85666666666667,2.352222222222222,Paris,23 février 1837 ,6 décembre 1915
